sample-id,reads-raw,fraction-artifact-with-minsize,fraction-artifact,fraction-missed-reference,unique-reads-derep,reads-derep,unique-reads-deblur,reads-deblur,unique-reads-hit-artifact,reads-hit-artifact,unique-reads-chimeric,reads-chimeric,unique-reads-hit-reference,reads-hit-reference,unique-reads-missed-reference,reads-missed-reference,reads-missed-reference
0,L3S360,1343,0.517498,0,0.011745,119,648,112,602,0,0,1,6,74,514,3,7
1,L2S222,4459,0.498094,0,0.019076,327,2238,288,2000,0,0,4,8,147,1603,3,38
2,L2S309,1905,0.457743,0,0.003185,124,1033,99,942,0,0,0,0,76,895,1,3
3,L3S341,1293,0.438515,0,0,95,726,86,675,0,0,0,0,78,653,0,0
4,L2S204,4350,0.428966,0,0.012845,236,2484,152,2103,0,0,1,1,106,1969,2,27
5,L2S357,3100,0.419032,0,0,149,1801,87,1554,0,0,0,0,75,1533,0,0
6,L3S294,1523,0.401182,0,0.002398,82,912,65,836,0,0,1,2,52,800,1,2
7,L3S313,1340,0.391045,0,0,85,816,69,747,0,0,1,1,66,741,0,0
8,L2S240,7110,0.390717,0,0,253,4332,78,3578,0,0,9,17,59,3535,0,0
9,L2S155,5066,0.388077,0,0.006223,260,3100,178,2732,0,0,0,0,119,2579,3,17
10,L2S175,5575,0.371659,0,0.001307,281,3503,178,3061,0,0,1,1,132,2955,1,4
11,L2S382,5126,0.364222,0,0,261,3259,200,2762,0,0,3,14,139,2583,0,0
12,L3S378,1588,0.333123,0,0,80,1059,52,876,0,0,5,10,42,850,0,0
13,L4S112,10013,0.314791,0,0.001726,510,6861,282,5810,0,0,3,17,173,5524,2,10
14,L4S63,11506,0.312967,0,0.004918,691,7905,468,6744,0,0,5,34,176,5913,3,33
15,L1S281,7764,0.312339,0,0,416,5339,143,4081,0,0,22,66,94,3955,0,0
16,L3S242,1125,0.312,0,0,50,774,32,681,0,0,2,11,26,660,0,0
17,L1S257,7302,0.297727,0,0,363,5128,137,4051,0,0,21,37,89,3949,0,0
18,L5S240,2139,0.294998,0,0,71,1508,29,1329,0,0,0,0,29,1329,0,0
19,L1S208,10149,0.285841,0,0,477,7248,149,5287,0,0,26,64,93,5138,0,0
20,L4S137,11642,0.276671,0,0,503,8421,242,6957,0,0,10,24,170,6770,0,0
21,L6S68,7310,0.263338,0,0,249,5385,61,4597,0,0,3,7,54,4583,0,0
22,L1S140,8585,0.258008,0,0,421,6370,109,4814,0,0,10,20,79,4749,0,0
23,L1S57,10001,0.254475,0,0,473,7456,118,5619,0,0,15,48,88,5525,0,0
24,L5S203,2365,0.254123,0,0,90,1764,42,1569,0,0,3,4,37,1561,0,0
25,L5S104,2520,0.251984,0,0,80,1885,38,1728,0,0,3,4,32,1719,0,0
26,L5S174,2195,0.248747,0,0,87,1649,41,1442,0,0,5,7,34,1429,0,0
27,L1S105,9232,0.247725,0,0,484,6945,111,5098,0,0,13,32,79,5020,0,0
28,L6S93,8580,0.244872,0,0,268,6479,76,5286,0,0,7,17,64,5261,0,0
29,L5S155,1996,0.240481,0,0,67,1516,25,1347,0,0,0,0,25,1347,0,0
30,L1S76,8985,0.235504,0,0,441,6869,107,5095,0,0,15,32,79,5037,0,0
31,L1S8,8434,0.231207,0,0,393,6484,70,4883,0,0,7,116,49,4734,0,0
32,L5S222,2792,0.216332,0,0,100,2188,37,1979,0,0,4,6,33,1973,0,0
33,L6S20,7931,0.194805,0,0,282,6386,67,5210,0,0,9,15,48,5171,0,0
