sample-id	total-input-reads	total-retained-reads	reads-truncated	reads-too-short-after-truncation	reads-exceeding-maximum-ambiguous-bases
#q2:types	numeric	numeric	numeric	numeric	numeric
L1S105	11340	9232	10782	2066	42
L1S140	9738	8585	9459	1113	40
L1S208	11337	10149	10668	1161	27
L1S257	8216	7302	7672	876	38
L1S281	8907	7764	8346	1118	25
L1S57	11752	10001	11002	1717	34
L1S76	10101	8985	9679	1092	24
L1S8	12388	8434	12037	3916	38
L2S155	9263	5066	8934	4169	28
L2S175	10692	5575	10217	5092	25
L2S204	7299	4350	6973	2900	49
L2S222	8386	4459	8055	3888	39
L2S240	11986	7110	11454	4845	31
L2S309	3836	1905	3638	1904	27
L2S357	6254	3100	5998	3126	28
L2S382	9301	5126	8831	4134	41
L3S242	2055	1125	2030	904	26
L3S294	2318	1523	2151	747	48
L3S313	1996	1340	1813	628	28
L3S341	1854	1293	1743	520	41
L3S360	2086	1343	1952	708	35
L3S378	2147	1588	2111	518	41
L4S112	16268	10013	15057	6234	21
L4S137	18787	11642	17454	7123	22
L4S63	17168	11506	15161	5634	28
L5S104	3461	2520	3125	904	37
L5S155	2493	1996	2165	474	23
L5S174	2792	2195	2527	567	30
L5S203	3039	2365	2609	647	27
L5S222	3397	2792	2877	565	40
L5S240	2667	2139	2281	488	40
L6S20	9777	7931	8251	1826	20
L6S68	9559	7310	8578	2221	28
L6S93	11271	8580	10283	2681	10
