sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
L1S105	11340	8571	75.58	8499	7780	68.61
L1S140	9738	7677	78.84	7605	7163	73.56
L1S208	11337	9261	81.69	9152	8152	71.91
L1S257	8216	6705	81.61	6627	6388	77.75
L1S281	8907	7067	79.34	6976	6615	74.27
L1S57	11752	9299	79.13	9260	8702	74.05
L1S76	10101	8395	83.11	8337	7867	77.88
L1S8	12388	7663	61.86	7624	7033	56.77
L2S155	9263	4112	44.39	3932	3932	42.45
L2S175	10692	4546	42.52	4386	4386	41.02
L2S204	7299	3379	46.29	3199	3158	43.27
L2S222	8386	3485	41.56	3187	3187	38
L2S240	11986	5183	43.24	5094	5061	42.22
L2S309	3836	1550	40.41	1419	1419	36.99
L2S357	6254	2526	40.39	2373	2373	37.94
L2S382	9301	4279	46.01	4202	4089	43.96
L3S242	2055	970	47.2	951	897	43.65
L3S294	2318	1313	56.64	1225	1225	52.85
L3S313	1996	1191	59.67	1103	1103	55.26
L3S341	1854	1109	59.82	962	962	51.89
L3S360	2086	1132	54.27	969	969	46.45
L3S378	2147	1358	63.25	1322	1249	58.17
L4S112	16268	8603	52.88	8362	8340	51.27
L4S137	18787	10064	53.57	9921	9820	52.27
L4S63	17168	10096	58.81	9744	9744	56.76
L5S104	3461	2253	65.1	2227	2227	64.35
L5S155	2493	1828	73.33	1800	1800	72.2
L5S174	2792	1969	70.52	1953	1953	69.95
L5S203	3039	2133	70.19	2112	2112	69.5
L5S222	3397	2556	75.24	2521	2521	74.21
L5S240	2667	1817	68.13	1792	1792	67.19
L6S20	9777	7087	72.49	7049	6855	70.11
L6S68	9559	6169	64.54	6130	5980	62.56
L6S93	11271	7483	66.39	7408	6953	61.69
